StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q5,Q5_DO,Q8,Q8_DO,Q60_1,Q60_2,Q61_1,Q61_2,Q14_1,Q14_2,Q58_1,Q58_2,Q16,Q62_1,Q62_2,Q69_1,Q69_2,Q65_1,Q65_2,Q63_1,Q63_2,Q27,Q70_1,Q70_2,Q68_1,Q68_2,Q67_1,Q67_2,Q71_1,Q71_2,Q43,Q72_1,Q72_2,Q73_1,Q73_2,Q88_1,Q88_2,Q81_1,Q81_2,Q49,Q80_1,Q80_2,Q75_1,Q75_2,Q78_1,Q78_2,Q83_1,Q83_2,Q57,Q82_1,Q82_2,Q85_1,Q85_2,Q84_1,Q84_2,Q77_1,Q77_2,Q63,Q19,Q19_6_TEXT,Q13,Q15,Q14,FL_3_DO,FL_22_DO,FL_26_DO,FL_27_DO,FL_28_DO,PetitionPair1-AB_DO,PetitionPair1-CD_DO,PetitionPair2-AC_DO,PetitionPair2-BD_DO,PetitionPair3-A/D_DO,PetitionPair3-B/C_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I have read the above information,"Based on the information above, which two features do Change.org users have access to? (check all that apply)","Based on the information above, which two features do Change.org users have access to? (check all that apply) - Display Order","Based on the information above, which two features do Change.org users have access to? (check all that apply)","Based on the information above, which two features do Change.org users have access to? (check all that apply) - Display Order",To what extent do you agree with each statement about the author of the petition? - The author of this petition is a subject matter expert.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is highly committed to the cause.,To what extent do you agree with each statement about the petition? - This petition could persuade an undecided reader.,To what extent do you agree with each statement about the petition? - This petition could further motivate a reader who already supports conservation.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is a subject matter expert.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is highly committed to the cause.,To what extent do you agree with each statement about the petition? - This petition could persuade an undecided reader.,To what extent do you agree with each statement about the petition? - This petition could further motivate a reader who already supports conservation.,"Between the two petitions, which one do you think the student group should select?",To what extent do you agree with each statement about the author of the petition? - The author of this petition is a subject matter expert.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is highly committed to the cause.,To what extent do you agree with each statement about the petition? - This petition could persuade an undecided reader.,To what extent do you agree with each statement about the petition? - This petition could further motivate a reader who already supports conservation.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is a subject matter expert.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is highly committed to the cause.,To what extent do you agree with each statement about the petition? - This petition could persuade an undecided reader.,To what extent do you agree with each statement about the petition? - This petition could further motivate a reader who already supports conservation.,"Between the two petitions, which one do you think the student group should select?",To what extent do you agree with each statement about the author of the petition? - The author of this petition is a subject matter expert.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is highly committed to the cause.,To what extent do you agree with each statement about the petition? - This petition could persuade an undecided reader.,To what extent do you agree with each statement about the petition? - This petition could further motivate a reader who already supports conservation.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is a subject matter expert.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is highly committed to the cause.,To what extent do you agree with each statement about the petition? - This petition could persuade an undecided reader.,To what extent do you agree with each statement about the petition? - This petition could further motivate a reader who already supports conservation.,"Between the two petitions, which one do you think the student group should select?",To what extent do you agree with each statement about the author of the petition? - The author of this petition is a subject matter expert.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is highly committed to the cause.,To what extent do you agree with each statement about the petition? - This petition could persuade an undecided reader.,To what extent do you agree with each statement about the petition? - This petition could further motivate a reader who already supports conservation.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is a subject matter expert.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is highly committed to the cause.,To what extent do you agree with each statement about the petition? - This petition could persuade an undecided reader.,To what extent do you agree with each statement about the petition? - This petition could further motivate a reader who already supports conservation.,"Between the two petitions, which one do you think the student group should select?",To what extent do you agree with each statement about the author of the petition? - The author of this petition is a subject matter expert.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is highly committed to the cause.,To what extent do you agree with each statement about the petition? - This petition could persuade an undecided reader.,To what extent do you agree with each statement about the petition? - This petition could further motivate a reader who already supports conservation.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is a subject matter expert.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is highly committed to the cause.,To what extent do you agree with each statement about the petition? - This petition could persuade an undecided reader.,To what extent do you agree with each statement about the petition? - This petition could further motivate a reader who already supports conservation.,"Between the two petitions, which one do you think the student group should select?",To what extent do you agree with each statement about the author of the petition? - The author of this petition is a subject matter expert.,To what extent do you agree with each statement about the author of the petition? - The author of this petition is highly committed to the cause.,To what extent do you agree with each statement about the petition? - This petition could persuade an undecided reader.,To what extent do you agree with each statement about the petition? - This petition could further motivate a reader who already supports conservation.,Please note the extent to which you agree with each statement about the author of the petition: - The author of this petition is a subject matter expert.,Please note the extent to which you agree with each statement about the author of the petition: - The author of this petition is highly committed to the cause.,Please note the extent to which you agree with each statement about the petition: - This petition could persuade an undecided reader.,Please note the extent to which you agree with each statement about the petition: - This petition could further motivate a reader who already supports conservation.,"Between the two petitions, which one do you think the student group should select?",What factors influenced your choice? Select all that apply: - Selected Choice,What factors influenced your choice? Select all that apply: - Other: - Text,"Select the degree to which you agree with the following statement:
It is appropriate to use AI when writing a petition.",Optional: Do you have additional thoughts about how appropriate AI use is for petition writing?,"Select the degree to which you agree with the following statement:
I am deeply committed to marine wildlife conservation.",FL_3 - Block Randomizer - Display Order,FL_22 - Block Randomizer - Display Order,FL_26 - Block Randomizer - Display Order,FL_27 - Block Randomizer - Display Order,FL_28 - Block Randomizer - Display Order,Petition Pair 1- AB - Display Order,Petition Pair 1- CD - Display Order,Petition Pair 2 - AC - Display Order,Petition Pair 2 - BD - Display Order,Petition Pair 3 - A/D - Display Order,Petition Pair 3 - B/C - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID94""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_DO""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_DO""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID68_2""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID69_2""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID66_2""}","{""ImportId"":""QID24""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID70_2""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID77_2""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID73_2""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID71_2""}","{""ImportId"":""QID35""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID78_2""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID76_2""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID75_2""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID79_2""}","{""ImportId"":""QID43""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID80_2""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID81_2""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID96_2""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID89_2""}","{""ImportId"":""QID49""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID83_2""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID86_2""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID91_2""}","{""ImportId"":""QID57""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID90_2""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID93_2""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID92_2""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID85_2""}","{""ImportId"":""QID63""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_6_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""FL_3_DO""}","{""ImportId"":""FL_22_DO""}","{""ImportId"":""FL_26_DO""}","{""ImportId"":""FL_27_DO""}","{""ImportId"":""FL_28_DO""}","{""ImportId"":""BL_7WZIubbBNYNrKWW_DO""}","{""ImportId"":""BL_0JtmVGg6absXO6O_DO""}","{""ImportId"":""BL_3IexF4XR0d9FXP8_DO""}","{""ImportId"":""BL_4HqjleBTOhz0gBM_DO""}","{""ImportId"":""BL_41pb2oLCvRvs8lg_DO""}","{""ImportId"":""BL_eaGRzj3JzYzmUKO_DO""}"
2025-02-22 12:08:44,2025-02-22 12:08:54,1,*******,100,10,1,2025-02-22 12:08:55,R_3dSQb9z2pEY1WAr,*******,*******,*******,*******,*******,*******,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed|Control,,,,,,,,,,
2025-02-22 12:09:08,2025-02-22 12:09:18,1,*******,100,10,1,2025-02-22 12:09:18,R_3bIC18VVQo7lsyi,*******,*******,*******,*******,*******,*******,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed,,,,,,,,,,
2025-02-23 07:39:22,2025-02-23 07:41:58,1,*******,100,155,1,2025-02-23 07:41:59,R_12pbYyivzmUvUzL,*******,*******,*******,*******,*******,*******,preview,EN,,,1|2|3|4|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed,,,,,,,,,,
2025-02-24 18:58:49,2025-02-24 18:59:52,1,*******,100,62,1,2025-02-24 18:59:53,R_1BbTuF2WXWsbsoE,*******,*******,*******,*******,*******,*******,preview,EN,,,,,4|5|1|2|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,FL_28,,,PetitionPair3-B/C|PetitionPair3-A/D,,,,,,
2025-02-25 06:30:56,2025-02-25 06:31:30,1,*******,100,34,1,2025-02-25 06:31:31,R_14FMkT2CFclmhQt,*******,*******,*******,*******,*******,*******,preview,EN,,,,,4|1|5|3|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,FL_27,,PetitionPair2-BD|PetitionPair2-AC,,,,,,,
2025-02-25 08:15:32,2025-02-25 08:37:22,1,*******,100,1310,1,2025-02-25 08:37:22,R_1G8o2eKao2HCKMA,*******,*******,*******,*******,*******,*******,preview,EN,,,4|3|2|1|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-Primed,FL_27,,PetitionPair2-BD|PetitionPair2-AC,,,,,,,
2025-02-27 13:08:33,2025-02-27 13:08:36,1,*******,100,2,1,2025-02-27 13:08:37,R_5MEYvDC0UNz7pyi,*******,*******,*******,*******,*******,*******,preview,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-27 09:29:15,2025-03-27 09:38:11,0,*******,100,536,1,2025-03-27 09:38:11,R_5e51ylrl7okpa50,*******,*******,*******,*******,*******,*******,anonymous,EN,1,,,"1,2",5|3|2|1|4,,,,,,,,,,,,,,,,,,,5,4,4,3,5,4,3,3,3,5,3,3,3,,,3,3,3,,,,,,,,,,,,,,,,,,,"1,3,4",,3,no,3,Control,FL_27,,PetitionPair2-AC|PetitionPair2-BD,,,,Q39|Q70|Q68|Q45|Q67|Q71|Q43,Q47|Q72|Q73|Q41|QID82|Q81|Q49,,
